crop_id,crop_name,scientific_name,state,importance_level,source
CROP_RICE,Rice / Paddy,Oryza sativa,Chhattisgarh,PRIMARY,ICAR-NRRI & Indira Gandhi Krishi Vishwavidyalaya (IGKV)
CROP_MAIZE,Maize,Zea mays,Chhattisgarh,PRIMARY,ICAR-IIMR & IGKV Raipur
CROP_WHEAT,Wheat,Triticum aestivum,Chhattisgarh,SECONDARY,ICAR-IIWBR & IGKV Raipur
CROP_CHICKPEA,Chickpea / Chana,Cicer arietinum,Chhattisgarh,PRIMARY,ICAR-IIPR & IGKV Raipur
CROP_PIGEONPEA,Pigeonpea / Rahar,Cajanus cajan,Chhattisgarh,PRIMARY,ICAR-IIPR & IGKV
CROP_SOYBEAN,Soybean,Glycine max,Chhattisgarh,PRIMARY,ICAR-IISR & IGKV
CROP_GROUNDNUT,Groundnut,Arachis hypogaea,Chhattisgarh,SECONDARY,ICAR-DGR & IGKV
CROP_SUGARCANE,Sugarcane,Saccharum officinarum,Chhattisgarh,SECONDARY,ICAR-SBI & IGKV Kawardha
CROP_TOMATO,Tomato,Solanum lycopersicum,Chhattisgarh,PRIMARY,ICAR-IIHR & IGKV Durg/Raipur
CROP_POTATO,Potato,Solanum tuberosum,Chhattisgarh,SECONDARY,ICAR-CPRI & IGKV Mainpat
